DayOfWeek,CallDate,Calls Inbound,Calls Outbound,Calls Inbound Handled,Calls Outbound Handled,Calls Self-Served,Calls Presented,Calls Abandoned,Handle Time - Inbound Average,Handle Time - Outbound Average,Avg.Wait Time,Avg. Wait Time - Abandoned,Avg. Speed To Answer,Avg. Speed To Answer With Transfer
Wednesday,1/1/2014,811,0,0,0,6,0,0,,,,,,
Thursday,1/2/2014,15371,4677,10138,3404,2533,12729,2591,17.46503058,4.56504994,6.53191845,6.72238132,6.48324127,7.42769876
Friday,1/3/2014,12574,4167,9489,2913,2071,10429,944,17.74262309,5.28046001,3.3985176,3.91690678,3.34692462,3.75571218
Saturday,1/4/2014,1104,16,0,13,5,0,0,,4.25923077,,,,
Sunday,1/5/2014,339,0,0,0,6,0,0,,,,,,
Monday,1/6/2014,18060,2490,12173,1694,2423,15524,3356,18.38312295,6.3768477,6.86283754,7.24262515,6.75809007,7.77295201
Tuesday,1/7/2014,14016,2894,10626,2039,2191,11737,1112,17.80556424,5.89552231,3.57575104,3.96808453,3.53468988,3.97173082
Wednesday,1/8/2014,11013,1860,9323,1355,1436,9492,171,18.17245896,7.16952768,0.81040877,1.17,0.80381182,0.91246862
Thursday,1/9/2014,9634,2988,8229,2056,1232,8284,55,18.72806173,5.15495136,0.35454128,0.284,0.35501276,0.45809576
Friday,1/10/2014,9523,3243,8112,2196,1290,8159,51,18.67364208,4.91056466,0.36620419,0.34490196,0.36633818,0.47072521
Saturday,1/11/2014,1023,0,0,0,3,0,0,,,,,,
Sunday,1/12/2014,289,0,0,0,2,0,0,,,,,,
Monday,1/13/2014,13718,2364,11057,1680,1892,11728,680,18.43617397,5.67216667,2.35063267,3.28963235,2.29283762,2.54460988
Tuesday,1/14/2014,10382,2879,8951,1993,1297,9024,76,18.7203498,4.92229804,0.46687722,0.58723684,0.46585494,0.57150872
Wednesday,1/15/2014,9413,2853,8020,1881,1285,8071,54,18.80493701,5.29115896,0.34606368,0.37351852,0.34587876,0.43732942
Thursday,1/16/2014,9505,2053,8150,1470,1222,8230,85,18.56499079,5.74866667,0.37914702,0.63976471,0.37642726,0.47051197
Friday,1/17/2014,9154,1997,7787,1447,1256,7841,56,18.33922415,5.86635107,0.36490626,0.39696429,0.36467566,0.45915735
Saturday,1/18/2014,1007,11,0,11,3,0,0,,3.00818182,,,,
Sunday,1/19/2014,267,0,0,0,2,0,0,,,,,,
Monday,1/20/2014,6495,0,0,0,13,0,0,,,,,,
Tuesday,1/21/2014,17996,2972,11878,2017,2575,15315,3435,18.32832996,5.1954586,6.90390685,5.99190975,7.16773623,7.89210207
Wednesday,1/22/2014,15057,2864,11128,1906,2267,12704,1578,18.27667957,6.61413956,4.19137801,4.06833333,4.20885928,4.54526245
Thursday,1/23/2014,10241,2201,8377,1584,1728,8470,50,18.78669374,6.51638889,0.34324151,0.3244,0.34335404,0.42120999
Friday,1/24/2014,8915,2157,7380,1551,1367,7474,49,19.31648997,6.19045132,0.33344512,0.20285714,0.33431264,0.41804501
Saturday,1/25/2014,1111,27,0,21,12,0,0,,2.24333333,,,,
Sunday,1/26/2014,311,0,0,0,3,0,0,,,,,,
Monday,1/27/2014,14183,2013,10935,1457,2074,11989,978,18.95455036,7.31667811,3.18957427,3.20005112,3.1886369,3.52082335
Tuesday,1/28/2014,9679,2247,8123,1610,1389,8220,41,18.73692563,6.19476398,0.33521867,0.23853659,0.33570672,0.41829722
Wednesday,1/29/2014,7709,2420,6490,1724,1069,6585,43,20.09931577,5.60645592,0.33922382,0.25860465,0.33975805,0.43577747
Thursday,1/30/2014,7373,3251,6200,2295,1021,6285,36,19.47200323,5.59294989,0.33663406,0.24861111,0.33714516,0.43089355
Friday,1/31/2014,7397,2510,5985,1771,1268,6069,57,19.26468416,5.56011858,0.37197318,2.3554386,0.35307988,0.45925635
Saturday,2/1/2014,724,0,0,0,8,0,0,,,,,,
Sunday,2/2/2014,185,0,0,0,3,0,0,,,,,,
Monday,2/3/2014,11023,2406,9091,1709,1727,9213,63,20.03371136,6.10031012,0.45102141,0.98619048,0.44731273,0.5596282
